,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description
22,2020-08-01,13:09,Saturday,OLD MILL STATION,TUOS,0,0,E,BD,5122,Operator Overshot Platform
23,2020-08-01,13:30,Saturday,DAVISVILLE STATION,MUNOA,0,0,N/A,YU,0,No Operator Immediately Available - Not E.S.A. Related 
24,2020-08-01,14:06,Saturday,ST GEORGE BD STATION,MUIR,0,0,W,BD,5051,Injured or ill Customer (On Train) - Medical Aid Refused
25,2020-08-01,15:03,Saturday,KIPLING STATION,EUOE,0,0,W,BD,5269,Rail Cars & Shops Opr. Error
26,2020-08-01,17:25,Saturday,KING STATION,MUNCA,0,0,N/A,YU,0,
27,2020-08-01,17:26,Saturday,VAUGHAN MC STATION,MUNOA,4,8,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
28,2020-08-01,17:48,Saturday,ST GEORGE BD STATION,MUPAA,3,6,W,BD,5266,Passenger Assistance Alarm Activated - No Trouble Found
29,2020-08-01,17:58,Saturday,YONGE BD STATION,SUDP,0,0,E,BD,0,Disorderly Patron
30,2020-08-01,18:09,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
31,2020-08-01,18:36,Saturday,YORKDALE STATION,EUBO,5,10,S,YU,5851,Body
32,2020-08-01,19:40,Saturday,KEELE STATION,MUIS,0,0,E,BD,0,Injured or ill Customer (In Station) - Transported
33,2020-08-01,19:43,Saturday,SPADINA YUS STATION,SUUT,16,21,S,YU,5531,Unauthorized at Track Level
34,2020-08-01,19:51,Saturday,ST CLAIR STATION,EUDO,4,9,S,YU,5656,Door Problems - Faulty Equipment
35,2020-08-01,20:02,Saturday,MUSEUM STATION,SUDP,0,0,S,YU,5406,Disorderly Patron
36,2020-08-01,20:30,Saturday,SPADINA YUS STATION,MUPAA,0,0,N,YU,5581,Passenger Assistance Alarm Activated - No Trouble Found
37,2020-08-01,20:31,Saturday,KEELE STATION,SUAP,0,0,N/A,BD,0,Assault / Patron Involved
38,2020-08-01,21:42,Saturday,KIPLING STATION,MUNOA,6,12,E,BD,5267,No Operator Immediately Available - Not E.S.A. Related 
39,2020-08-01,22:00,Saturday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
40,2020-08-01,22:03,Saturday,KIPLING STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
41,2020-08-01,22:05,Saturday,FINCH STATION,MUIS,5,10,S,YU,5656,Injured or ill Customer (In Station) - Transported
42,2020-08-01,22:54,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
43,2020-08-01,22:56,Saturday,DAVISVILLE STATION,EUSC,0,0,S,YU,6011,Speed Control Equipment  
44,2020-08-01,23:00,Saturday,BROADVIEW STATION,SUDP,0,0,N/A,BD,0,Disorderly Patron
45,2020-08-01,23:17,Saturday,SPADINA BD STATION,MUIRS,0,0,E,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
46,2020-08-01,23:18,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
47,2020-08-01,23:29,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
48,2020-08-01,23:50,Saturday,FINCH WEST STATION,PUSSW,57,62,N,YU,5716,Track Switch Failure - Signal Related Problem
49,2020-08-02,00:04,Sunday,DAVISVILLE YARD,SUAE,0,0,N/A,BD,0,Assault / Employee Involved
50,2020-08-02,00:27,Sunday,KENNEDY BD STATION,MUIRS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
51,2020-08-02,00:28,Sunday,DUNDAS STATION,SUDP,0,0,N/A,YU,0,Disorderly Patron
52,2020-08-02,01:47,Sunday,KIPLING STATION,SUDP,0,0,W,BD,5050,Disorderly Patron
53,2020-08-02,02:18,Sunday,VAUGHAN MC STATION,SUDP,0,0,N/A,YU,0,Disorderly Patron
54,2020-08-02,07:49,Sunday,WILSON STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
55,2020-08-02,07:55,Sunday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
56,2020-08-02,08:00,Sunday,BLOOR-DANFORTH LINE,MUO,0,0,N/A,BD,0,Miscellaneous Other
57,2020-08-02,08:14,Sunday,WILSON STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
58,2020-08-02,08:36,Sunday,EGLINTON STATION,MUNOA,5,10,N,YU,0,No Operator Immediately Available - Not E.S.A. Related 
59,2020-08-02,09:06,Sunday,MCCOWAN STATION,ERBO,12,18,S,SRT,3007,Body
60,2020-08-02,09:42,Sunday,FINCH STATION,TUSC,3,8,S,YU,6136,Operator Overspeeding
61,2020-08-02,10:26,Sunday,ELLESMERE STATION,MRPLA,53,59,S,SRT,3010,Fire/Smoke Plan A
62,2020-08-02,11:13,Sunday,OLD MILL STATION,MUI,12,16,E,BD,5026,Injured or ill Customer (On Train) - Transported
63,2020-08-02,11:24,Sunday,KIPLING TO ROYAL YORK,PUSI,26,30,E,BD,5277,Signals or Related Components Failure 
64,2020-08-02,11:24,Sunday,MCCOWAN STATION,TRSET,6,12,S,SRT,5024,Train Controls Improperly Shut Down
65,2020-08-02,11:57,Sunday,NORTH YORK CTR STATION,MUSC,0,0,S,YU,5731,Miscellaneous Speed Control
66,2020-08-02,12:01,Sunday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,B,SRT,0,Weather Reports / Related Delays
67,2020-08-02,12:57,Sunday,WOODBINE STATION,PUTSM,0,0,W,BD,5140,Track Switch Failure - Track Related Problem
68,2020-08-02,13:31,Sunday,ST CLAIR WEST STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident
69,2020-08-02,14:55,Sunday,WELLESLEY STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
70,2020-08-02,15:35,Sunday,VAUGHAN MC STATION,MUNOA,4,8,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
71,2020-08-02,15:44,Sunday,VAUGHAN MC STATION,MUNOA,4,8,S,YU,5946,No Operator Immediately Available - Not E.S.A. Related 
72,2020-08-02,18:11,Sunday,KIPLING STATION,MUNOA,5,10,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
73,2020-08-02,18:31,Sunday,KIPLING STATION,MUNOA,5,10,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
74,2020-08-02,18:35,Sunday,LESLIE STATION,SUO,0,0,N/A,SHP,0,Passenger Other
75,2020-08-02,18:47,Sunday,KIPLING STATION,TUO,4,9,E,BD,5067,Transportation Department - Other
76,2020-08-02,21:41,Sunday,QUEEN'S PARK STATION,MUIR,5,10,S,YU,5601,Injured or ill Customer (On Train) - Medical Aid Refused
77,2020-08-02,21:44,Sunday,MAIN STREET STATION,SUO,0,0,N/A,BD,0,Passenger Other
78,2020-08-02,21:47,Sunday,WILSON STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
79,2020-08-02,21:50,Sunday,FINCH STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
80,2020-08-02,22:00,Sunday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
81,2020-08-02,22:07,Sunday,ROSEDALE STATION,SUAP,11,16,N,YU,5961,Assault / Patron Involved
82,2020-08-02,23:16,Sunday,KING STATION,SUDP,3,8,N,YU,5546,Disorderly Patron
83,2020-08-03,00:37,Monday,LESLIE STATION,TUSC,0,0,W,SHP,6166,Operator Overspeeding
84,2020-08-03,05:41,Monday,FINCH STATION,TUSC,0,0,S,YU,5666,Operator Overspeeding
85,2020-08-03,05:47,Monday,KEELE STATION,PUTWZ,14,0,W,BD,5266,Work Zone Problems - Track
86,2020-08-03,05:59,Monday,DAVISVILLE STATION,PUSTS,5,10,N,YU,5561,Signals - Train Stops
87,2020-08-03,06:00,Monday,ISLINGTON STATION,PUSI,0,0,E,BD,0,Signals or Related Components Failure 
88,2020-08-03,06:16,Monday,GREENWOOD STATION,TUNOA,4,8,E,BD,0,No Operator Immediately Available 
89,2020-08-03,06:21,Monday,UNION STATION,PUMO,0,0,N,YU,0,Station Other
90,2020-08-03,06:22,Monday,UNION STATION,PUMO,0,0,S,YU,5451,Station Other
91,2020-08-03,08:43,Monday,UNION STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident
92,2020-08-03,11:13,Monday,FINCH STATION,TUNIP,6,10,S,YU,6106,Operator Not In Position
93,2020-08-03,15:02,Monday,ISLINGTON STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
94,2020-08-03,15:16,Monday,VAUGHAN MC STATION,SUDP,0,0,S,YU,6056,Disorderly Patron
95,2020-08-03,16:19,Monday,WILSON STATION,MUPAA,3,7,N,YU,5951,Passenger Assistance Alarm Activated - No Trouble Found
96,2020-08-03,16:41,Monday,KIPLING STATION,SUO,13,17,W,BD,5049,Passenger Other
97,2020-08-03,17:04,Monday,LAWRENCE WEST STATION,SUAE,0,0,N/A,YU,0,Assault / Employee Involved
98,2020-08-03,17:46,Monday,COLLEGE STATION,SUUT,0,0,N,YU,5546,Unauthorized at Track Level
99,2020-08-03,18:30,Monday,KENNEDY BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
100,2020-08-03,19:33,Monday,SHEPPARD-YONGE STATION,MUIS,0,0,N/A,SHP,0,Injured or ill Customer (In Station) - Transported
101,2020-08-03,20:05,Monday,VAUGHAN MC STATION,MUESA,5,10,N,YU,5621,No Operator Immediately Available
102,2020-08-03,20:16,Monday,LAWRENCE STATION,MUESA,5,10,N,YU,5951,No Operator Immediately Available
103,2020-08-03,20:30,Monday,DUNDAS STATION,MUPAA,0,0,S,YU,5556,Passenger Assistance Alarm Activated - No Trouble Found
104,2020-08-03,20:40,Monday,VAUGHAN MC STATION,MUESA,5,10,S,YU,6036,No Operator Immediately Available
105,2020-08-03,22:01,Monday,FINCH STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
106,2020-08-03,22:36,Monday,YORK MILLS STATION,TUSC,0,0,S,YU,6116,Operator Overspeeding
107,2020-08-04,02:31,Tuesday,CHESTER STATION,TUMVS,0,0,E,BD,5026,Operator Violated Signal
108,2020-08-04,05:39,Tuesday,BAY STATION,MUNCA,0,0,N/A,BD,0,
109,2020-08-04,05:47,Tuesday,GREENWOOD STATION,MUNOA,4,8,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
110,2020-08-04,05:55,Tuesday,DONLANDS STATION,MUNOA,4,8,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
111,2020-08-04,06:00,Tuesday,TORONTO TRANSIT COMMIS,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
112,2020-08-04,06:00,Tuesday,TORONTO TRANSIT COMMIS,MUO,0,0,N/A,SHP,0,Miscellaneous Other
113,2020-08-04,06:00,Tuesday,TORONTO TRANSIT COMMIS,MRO,0,0,N/A,SRT,0,Miscellaneous Other
114,2020-08-04,06:09,Tuesday,FINCH STATION,EUSC,5,9,S,YU,5666,Speed Control Equipment  
115,2020-08-04,07:17,Tuesday,LAWRENCE STATION,MUPAA,4,7,N,YU,6016,Passenger Assistance Alarm Activated - No Trouble Found
116,2020-08-04,07:25,Tuesday,YORK MILLS STATION (AP,MUSC,0,0,N,YU,6046,Miscellaneous Speed Control
117,2020-08-04,07:35,Tuesday,EGLINTON STATION,EUSC,0,0,N,YU,5381,Speed Control Equipment  
118,2020-08-04,07:45,Tuesday,BLOOR STATION,SUDP,5,8,N,YU,6101,Disorderly Patron
119,2020-08-04,07:46,Tuesday,NORTH YORK CTR STATION,MUSC,0,0,S,YU,5731,Miscellaneous Speed Control
120,2020-08-04,07:50,Tuesday,ST CLAIR STATION,EUSC,0,0,S,YU,6011,Speed Control Equipment  
121,2020-08-04,07:51,Tuesday,WELLESLEY STATION,SUDP,0,0,N,YU,5976,Disorderly Patron
122,2020-08-04,07:58,Tuesday,FINCH STATION,MUSC,0,0,S,YU,5481,Miscellaneous Speed Control
123,2020-08-04,09:06,Tuesday,QUEEN STATION,MUATC,4,7,S,YU,5916,ATC Project
124,2020-08-04,09:32,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
125,2020-08-04,09:36,Tuesday,COXWELL STATION,MUNOA,3,6,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
126,2020-08-04,10:05,Tuesday,BESSARION STATION,EUDO,3,8,W,SHP,6181,Door Problems - Faulty Equipment
127,2020-08-04,10:05,Tuesday,FINCH STATION,EUNT,3,6,S,YU,5586,Equipment - No Trouble Found
128,2020-08-04,10:09,Tuesday,COXWELL STATION,MUNOA,3,6,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
129,2020-08-04,10:14,Tuesday,FINCH STATION,SUDP,3,6,S,YU,6026,Disorderly Patron
130,2020-08-04,10:40,Tuesday,WILSON STATION,MUIR,9,12,N,YU,5446,Injured or ill Customer (On Train) - Medical Aid Refused
131,2020-08-04,12:00,Tuesday,KING STATION,MUPAA,0,0,S,YU,5666,Passenger Assistance Alarm Activated - No Trouble Found
132,2020-08-04,12:04,Tuesday,DAVISVILLE STATION,MUD,5,8,S,YU,5951,Door Problems - Passenger Related
133,2020-08-04,13:00,Tuesday,YONGE BD STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
134,2020-08-04,13:05,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
135,2020-08-04,13:12,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
136,2020-08-04,13:25,Tuesday,COXWELL STATION,MUNOA,3,6,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
137,2020-08-04,14:01,Tuesday,COXWELL STATION,MUNOA,3,6,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
138,2020-08-04,14:24,Tuesday,BLOOR STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident
139,2020-08-04,14:29,Tuesday,VAUGHAN MC STATION,MUCL,3,6,S,YU,6021,Divisional Clerk Related
140,2020-08-04,15:14,Tuesday,DUNDAS STATION,SUDP,5,8,N,YU,5736,Disorderly Patron
141,2020-08-04,15:29,Tuesday,KENNEDY SRT STATION,ERHV,10,15,N,SRT,3009,High Voltage
142,2020-08-04,15:37,Tuesday,DAVISVILLE STATION,MUI,6,9,N,YU,5626,Injured or ill Customer (On Train) - Transported
143,2020-08-04,15:50,Tuesday,QUEEN'S PARK STATION,MUI,15,18,N,YU,5991,Injured or ill Customer (On Train) - Transported
144,2020-08-04,15:51,Tuesday,OSSINGTON STATION,TUMVS,0,0,E,BD,5051,Operator Violated Signal
145,2020-08-04,15:53,Tuesday,KENNEDY BD STATION,MUNOA,3,6,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
146,2020-08-04,16:20,Tuesday,ST CLAIR WEST STATION,MUTO,4,7,N,YU,5586,Misc. Transportation Other - Employee Non-Chargeable
147,2020-08-04,16:37,Tuesday,ST GEORGE YUS STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported
148,2020-08-04,16:52,Tuesday,KENNEDY BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
149,2020-08-04,16:53,Tuesday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,6046,No Operator Immediately Available 
150,2020-08-04,18:09,Tuesday,COXWELL STATION,MUNOA,5,10,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
151,2020-08-04,18:46,Tuesday,LAWRENCE WEST STATION,SUEAS,14,17,N,YU,5401,Emergency Alarm Station Activation
152,2020-08-04,20:10,Tuesday,GLENCAIRN STATION,MUIRS,0,0,N,YU,6096,Injured or ill Customer (In Station) - Medical Aid Refused
153,2020-08-04,21:19,Tuesday,MAIN STREET STATION,SUDP,0,0,W,BD,5192,Disorderly Patron
154,2020-08-04,21:33,Tuesday,DOWNSVIEW PARK STATION,SUCOL,0,0,N,YU,5446,Collector Booth Alarm Activated
155,2020-08-04,22:00,Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
156,2020-08-04,22:31,Tuesday,VAUGHAN MC STATION,TUNOA,5,10,S,YU,5506,No Operator Immediately Available 
157,2020-08-04,23:46,Tuesday,KENNEDY BD STATION,EUNT,0,0,W,BD,5097,Equipment - No Trouble Found
158,2020-08-05,01:50,Wednesday,VICTORIA PARK STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
159,2020-08-05,05:47,Wednesday,KIPLING STATION,MUNOA,6,12,E,BD,5277,No Operator Immediately Available - Not E.S.A. Related 
160,2020-08-05,05:58,Wednesday,WARDEN STATION,PUTIJ,6,9,E,BD,5079,Insulated Joint Related Problem
161,2020-08-05,09:09,Wednesday,UNION STATION,PUMO,0,0,N/A,YU,0,Station Other
162,2020-08-05,09:28,Wednesday,ST GEORGE YUS STATION,SUDP,4,7,N,YU,6126,Disorderly Patron
163,2020-08-05,09:31,Wednesday,COXWELL STATION,MUNOA,3,6,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
164,2020-08-05,09:56,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
165,2020-08-05,09:56,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
166,2020-08-05,10:22,Wednesday,ST CLAIR STATION (APPR,TUSC,0,0,S,YU,6066,Operator Overspeeding
167,2020-08-05,10:55,Wednesday,ISLINGTON CENTRE TRACK,PUSTC,3,6,W,BD,5269,Signals - Track Circuit Problems
168,2020-08-05,11:25,Wednesday,FINCH STATION,TUSC,3,6,N,YU,6121,Operator Overspeeding
169,2020-08-05,12:02,Wednesday,CASTLE FRANK STATION,MUD,3,6,W,BD,5174,Door Problems - Passenger Related
170,2020-08-05,12:35,Wednesday,FINCH STATION,TUMVS,0,0,N,YU,5706,Operator Violated Signal
171,2020-08-05,12:48,Wednesday,DON MILLS STATION,MUSC,0,0,E,SHP,6161,Miscellaneous Speed Control
172,2020-08-05,14:01,Wednesday,BATHURST STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
173,2020-08-05,14:03,Wednesday,BLOOR STATION,MUPAA,0,0,N,YU,5466,Passenger Assistance Alarm Activated - No Trouble Found
174,2020-08-05,14:08,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
175,2020-08-05,14:30,Wednesday,JANE STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
176,2020-08-05,14:44,Wednesday,ST PATRICK STATION,MUIE,0,0,N/A,YU,0,Injured Employee
177,2020-08-05,15:12,Wednesday,QUEEN STATION,SUDP,3,6,N,YU,5941,Disorderly Patron
178,2020-08-05,15:29,Wednesday,QUEEN STATION,MUO,0,0,S,YU,6026,Miscellaneous Other
179,2020-08-05,15:43,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
180,2020-08-05,16:05,Wednesday,MAIN STREET STATION,SUDP,18,21,E,BD,5286,Disorderly Patron
181,2020-08-05,17:10,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
182,2020-08-05,19:11,Wednesday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6191,Operator Overspeeding
183,2020-08-05,19:15,Wednesday,KING STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported
184,2020-08-05,19:56,Wednesday,WARDEN STATION,SUUT,42,48,W,BD,5241,Unauthorized at Track Level
185,2020-08-05,20:24,Wednesday,BROADVIEW STATION,PUMEL,0,0,W,BD,0,Escalator/Elevator Incident
186,2020-08-05,20:41,Wednesday,WOODBINE STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
187,2020-08-05,21:54,Wednesday,SHEPPARD WEST STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
188,2020-08-05,21:57,Wednesday,BAY STATION,SUDP,4,10,W,BD,5174,Disorderly Patron
189,2020-08-05,22:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
190,2020-08-05,22:03,Wednesday,SHEPPARD-YONGE STATION,TUNIP,6,11,E,SHP,6176,Operator Not In Position
191,2020-08-05,22:10,Wednesday,CHESTER STATION,MUNCA,0,0,N/A,BD,0,
192,2020-08-05,22:34,Wednesday,BATHURST STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
193,2020-08-05,22:58,Wednesday,SPADINA BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
194,2020-08-05,23:53,Wednesday,SPADINA BD STATION,EUDO,6,12,W,BD,5049,Door Problems - Faulty Equipment
195,2020-08-06,01:10,Thursday,LAWRENCE STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported
196,2020-08-06,06:07,Thursday,GREENWOOD STATION,MUNOA,5,10,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
197,2020-08-06,06:33,Thursday,GREENWOOD STATION,MUNOA,4,8,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
198,2020-08-06,06:42,Thursday,GLENCAIRN STATION,EUDO,0,0,S,YU,5471,Door Problems - Faulty Equipment
199,2020-08-06,06:45,Thursday,LAWRENCE WEST STATION,EUDO,5,8,S,YU,5406,Door Problems - Faulty Equipment
200,2020-08-06,08:28,Thursday,VAUGHAN MC STATION,TUO,4,7,S,YU,5546,Transportation Department - Other
201,2020-08-06,08:30,Thursday,SPADINA BD STATION,MUO,0,0,E,BD,5162,Miscellaneous Other
202,2020-08-06,08:33,Thursday,SPADINA YUS STATION,MUO,0,0,N,YU,6036,Miscellaneous Other
203,2020-08-06,09:17,Thursday,COXWELL STATION,MUNOA,3,6,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
204,2020-08-06,09:19,Thursday,SHEPPARD WEST STATION,SUAP,0,0,N,YU,0,Assault / Patron Involved
205,2020-08-06,12:18,Thursday,LAWRENCE EAST STATION,ERTC,6,12,N,SRT,3017,Train Control - VOBC
206,2020-08-06,12:40,Thursday,COXWELL STATION,MUNOA,3,6,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
207,2020-08-06,13:42,Thursday,COXWELL STATION,MUNOA,3,6,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
208,2020-08-06,14:16,Thursday,DUNDAS STATION,TUSC,0,0,N,YU,5646,Operator Overspeeding
209,2020-08-06,14:24,Thursday,COXWELL STATION,MUNOA,0,0,E,BD,5096,No Operator Immediately Available - Not E.S.A. Related 
210,2020-08-06,14:57,Thursday,COXWELL STATION,MUNOA,3,6,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
211,2020-08-06,16:26,Thursday,SHEPPARD WEST STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
212,2020-08-06,17:00,Thursday,ST GEORGE BD STATION,SUO,4,8,E,BD,5178,Passenger Other
213,2020-08-06,17:33,Thursday,YORK MILLS STATION,TUSC,0,0,S,YU,5666,Operator Overspeeding
214,2020-08-06,18:09,Thursday,COXWELL STATION,MUNOA,4,8,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
215,2020-08-06,18:13,Thursday,COXWELL STATION,MUNOA,4,8,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
216,2020-08-06,18:46,Thursday,WARDEN STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
217,2020-08-06,18:50,Thursday,COXWELL STATION,MUNOA,4,8,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
218,2020-08-06,19:16,Thursday,VAUGHAN MC STATION,MUTO,4,7,S,YU,5126,Misc. Transportation Other - Employee Non-Chargeable
219,2020-08-06,19:24,Thursday,DUNDAS STATION,SUO,0,0,N/A,YU,0,Passenger Other
220,2020-08-06,19:33,Thursday,DON MILLS STATION,TUO,0,0,E,SHP,5196,Transportation Department - Other
221,2020-08-06,19:57,Thursday,FINCH WEST STATION,MUATC,5,8,S,YU,5751,ATC Project
222,2020-08-06,20:04,Thursday,KENNEDY BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
