,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description,Type
30,2020-10-01,21:18,Thursday,WARDEN STATION,TUSC,0,0,N,YU,6126,Operator Overspeeding,SUB RMENU CODE
31,2020-10-01,22:00,Thursday,WARDEN STATION,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other,SUB RMENU CODE
32,2020-10-01,22:22,Thursday,LANSDOWNE STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
33,2020-10-01,23:00,Thursday,WARDEN STATION,MUO,0,0,N/A,YU,0,Miscellaneous Other,SUB RMENU CODE
34,2020-10-01,23:47,Thursday,WARDEN STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
35,2020-10-02,00:08,Friday,LESLIE STATION,MUPAA,5,10,E,SHP,6186,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
36,2020-10-02,00:36,Friday,QUEEN STATION,SUDP,7,12,N,YU,5681,Disorderly Patron,SUB RMENU CODE
37,2020-10-02,01:08,Friday,FINCH WEST STATION,SUUT,17,22,N,YU,5766,Unauthorized at Track Level,SUB RMENU CODE
38,2020-10-02,01:43,Friday,QUEEN STATION,SUDP,6,11,S,YU,5431,Disorderly Patron,SUB RMENU CODE
39,2020-10-02,02:03,Friday,LAWRENCE STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
40,2020-10-02,06:07,Friday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0,No Equipment Available,SRT RMENU CODE
41,2020-10-02,06:21,Friday,LAWRENCE STATION,TUMVS,0,0,N,YU,5586,Operator Violated Signal,SUB RMENU CODE
42,2020-10-02,06:40,Friday,KENNEDY BD STATION,PUSSW,10,15,W,BD,5293,Track Switch Failure - Signal Related Problem,SUB RMENU CODE
43,2020-10-02,06:54,Friday,FINCH STATION,SUAP,4,7,S,YU,5561,Assault / Patron Involved,SUB RMENU CODE
44,2020-10-02,08:22,Friday,DUNDAS STATION,SUDP,3,6,N,YU,5546,Disorderly Patron,SUB RMENU CODE
45,2020-10-02,08:26,Friday,KIPLING STATION,MUIR,8,11,E,BD,5339,Injured or ill Customer (On Train) - Medical Aid Refused,SUB RMENU CODE
46,2020-10-02,08:48,Friday,ST CLAIR WEST STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident,SUB RMENU CODE
47,2020-10-02,08:56,Friday,KENNEDY BD STATION,SUDP,0,0,N/A,BD,0,Disorderly Patron,SUB RMENU CODE
48,2020-10-02,09:10,Friday,DUPONT STATION,EUBO,8,11,N,YU,5836,Body,SUB RMENU CODE
49,2020-10-02,09:18,Friday,KIPLING STATION,TUMVS,0,0,W,BD,5233,Operator Violated Signal,SUB RMENU CODE
50,2020-10-02,09:27,Friday,OSSINGTON STATION,TUMVS,3,6,E,BD,5311,Operator Violated Signal,SUB RMENU CODE
51,2020-10-02,09:51,Friday,OSGOODE STATION,SUDP,0,0,N,YU,0,Disorderly Patron,SUB RMENU CODE
52,2020-10-02,10:03,Friday,RUNNYMEDE STATION,MUIS,0,0,N/A,71 RUNNYMEDE,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
53,2020-10-02,10:33,Friday,BLOOR STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
54,2020-10-02,11:12,Friday,COLLEGE STATION,SUAE,10,13,S,YU,5441,Assault / Employee Involved,SUB RMENU CODE
55,2020-10-02,11:15,Friday,VICTORIA PARK STATION,SUO,0,0,W,BD,5005,Passenger Other,SUB RMENU CODE
56,2020-10-02,11:50,Friday,WARDEN STATION,TUSC,0,0,N,YU,5751,Operator Overspeeding,SUB RMENU CODE
57,2020-10-02,12:33,Friday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
58,2020-10-02,13:06,Friday,EGLINTON WEST STATION,EUDO,3,6,S,YU,5871,Door Problems - Faulty Equipment,SUB RMENU CODE
59,2020-10-02,13:33,Friday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
60,2020-10-02,13:47,Friday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
61,2020-10-02,14:06,Friday,MCCOWAN STATION,ERNEA,5,10,N,SRT,3025,No Equipment Available,SRT RMENU CODE
62,2020-10-02,14:13,Friday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0,No Equipment Available,SRT RMENU CODE
63,2020-10-02,15:05,Friday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0,No Equipment Available,SRT RMENU CODE
64,2020-10-02,15:25,Friday,KENNEDY BD STATION,MUIRS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
65,2020-10-02,16:50,Friday,LANSDOWNE STATION,SUDP,0,0,W,BD,0,Disorderly Patron,SUB RMENU CODE
66,2020-10-02,17:46,Friday,FINCH STATION,EUTRD,3,6,S,YU,5621,TR Cab Doors,SUB RMENU CODE
67,2020-10-02,19:27,Friday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
68,2020-10-02,20:22,Friday,BATHURST STATION,SUDP,5,11,W,BD,5261,Disorderly Patron,SUB RMENU CODE
69,2020-10-02,22:00,Friday,WARDEN STATION,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other,SUB RMENU CODE
70,2020-10-02,22:11,Friday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
71,2020-10-02,22:37,Friday,EGLINTON STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
72,2020-10-03,01:29,Saturday,DAVISVILLE STATION,TUMVS,5,10,S,YU,5741,Operator Violated Signal,SUB RMENU CODE
73,2020-10-03,02:08,Saturday,DON MILLS STATION,TUSC,0,0,E,SHP,6156,Operator Overspeeding,SUB RMENU CODE
74,2020-10-03,02:15,Saturday,DUFFERIN STATION,SUDP,0,0,N/A,BD,0,Disorderly Patron,SUB RMENU CODE
75,2020-10-03,02:16,Saturday,FINCH STATION,SUDP,0,0,N/A,YU,0,Disorderly Patron,SUB RMENU CODE
76,2020-10-03,05:46,Saturday,FINCH STATION,TUSC,0,0,S,YU,5646,Operator Overspeeding,SUB RMENU CODE
77,2020-10-03,06:00,Saturday,KENNEDY STATION TO WOO,MUO,0,0,N/A,BD,0,Miscellaneous Other,SUB RMENU CODE
78,2020-10-03,06:27,Saturday,SHEPPARD-YONGE STATION,MUSC,3,8,E,SHP,6176,Miscellaneous Speed Control,SUB RMENU CODE
79,2020-10-03,07:54,Saturday,QUEEN STATION,MUSC,0,0,N,YU,6091,Miscellaneous Speed Control,SUB RMENU CODE
80,2020-10-03,08:35,Saturday,SHEPPARD-YONGE STATION,TUSC,0,0,W,SHP,6171,Operator Overspeeding,SUB RMENU CODE
81,2020-10-03,09:35,Saturday,OSSINGTON STATION,SUDP,0,0,E,BD,5290,Disorderly Patron,SUB RMENU CODE
82,2020-10-03,10:05,Saturday,LAWRENCE STATION,EUSC,0,0,N,YU,5566,Speed Control Equipment  ,SUB RMENU CODE
83,2020-10-03,11:13,Saturday,KENNEDY BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
84,2020-10-03,12:01,Saturday,WARDEN STATION,PUSTP,3,6,S,YU,5676,Traction Power or Related Components Failure,SUB RMENU CODE
85,2020-10-03,12:02,Saturday,GREENWOOD STATION,SUO,3,7,E,BD,5167,Passenger Other,SUB RMENU CODE
86,2020-10-03,12:15,Saturday,DUNDAS STATION,EUSC,3,6,N,YU,5751,Speed Control Equipment  ,SUB RMENU CODE
87,2020-10-03,12:21,Saturday,QUEEN STATION,MUSC,0,0,N,YU,5566,Miscellaneous Speed Control,SUB RMENU CODE
88,2020-10-03,12:30,Saturday,SPADINA YUS STATION,SUO,0,0,N/A,YU,0,Passenger Other,SUB RMENU CODE
89,2020-10-03,13:25,Saturday,UNION STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
90,2020-10-03,14:34,Saturday,ISLINGTON STATION,MUIR,4,8,E,BD,5038,Injured or ill Customer (On Train) - Medical Aid Refused,SUB RMENU CODE
91,2020-10-03,16:32,Saturday,SCARBOROUGH CTR STATIO,MRUI,0,0,N/A,SRT,0,Injured or ill Customer (On Train) - Transported,SRT RMENU CODE
92,2020-10-03,17:16,Saturday,ISLINGTON STATION,PUSTS,0,0,W,BD,5151,Signals - Train Stops,SUB RMENU CODE
93,2020-10-03,17:20,Saturday,EGLINTON STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
94,2020-10-03,17:29,Saturday,KIPLING STATION,SUDP,10,14,E,BD,5146,Disorderly Patron,SUB RMENU CODE
95,2020-10-03,17:46,Saturday,FINCH STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
96,2020-10-03,17:52,Saturday,FINCH STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
97,2020-10-03,18:38,Saturday,ST ANDREW STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
98,2020-10-03,18:43,Saturday,BATHURST STATION,MUIR,12,16,W,BD,5168,Injured or ill Customer (On Train) - Medical Aid Refused,SUB RMENU CODE
99,2020-10-03,18:55,Saturday,VICTORIA PARK STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
100,2020-10-03,20:06,Saturday,ROYAL YORK STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
101,2020-10-03,21:01,Saturday,COLLEGE STATION,SUDP,4,9,N,YU,5486,Disorderly Patron,SUB RMENU CODE
102,2020-10-03,21:10,Saturday,WARDEN STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
103,2020-10-03,21:20,Saturday,DUNDAS STATION,SUUT,4,8,N,YU,5976,Unauthorized at Track Level,SUB RMENU CODE
104,2020-10-03,21:42,Saturday,DONLANDS STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
105,2020-10-03,22:00,Saturday,WARDEN STATION,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other,SUB RMENU CODE
106,2020-10-03,23:03,Saturday,BATHURST STATION,MUD,3,8,W,BD,5198,Door Problems - Passenger Related,SUB RMENU CODE
107,2020-10-03,23:26,Saturday,FINCH WEST STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident,SUB RMENU CODE
108,2020-10-03,23:46,Saturday,DUNDAS WEST STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
109,2020-10-03,23:48,Saturday,WARDEN STATION,MUPAA,0,0,S,YU,5866,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
110,2020-10-04,01:40,Sunday,KING STATION,MUPAA,0,0,S,YU,5806,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
111,2020-10-04,08:00,Sunday,BLOOR DANFORTH LINE,MUO,0,0,N/A,BD,0,Miscellaneous Other,SUB RMENU CODE
112,2020-10-04,08:00,Sunday,WARDEN STATION,MUO,0,0,N,YU,5951,Miscellaneous Other,SUB RMENU CODE
113,2020-10-04,08:06,Sunday,FINCH STATION,TUSC,0,0,S,YU,6096,Operator Overspeeding,SUB RMENU CODE
114,2020-10-04,08:33,Sunday,DONLANDS STATION,MUSC,0,0,W,BD,5228,Miscellaneous Speed Control,SUB RMENU CODE
115,2020-10-04,08:35,Sunday,DAVISVILLE STATION,MUCL,5,10,N,YU,5756,Divisional Clerk Related,SUB RMENU CODE
116,2020-10-04,08:40,Sunday,DAVISVILLE STATION,MUCL,5,10,N,YU,5706,Divisional Clerk Related,SUB RMENU CODE
117,2020-10-04,08:40,Sunday,KENNEDY STATION,SUAE,0,0,N/A,BD,0,Assault / Employee Involved,SUB RMENU CODE
118,2020-10-04,09:11,Sunday,QUEEN STATION,MUSC,0,0,N,YU,5961,Miscellaneous Speed Control,SUB RMENU CODE
119,2020-10-04,09:54,Sunday,WARDEN STATION,MUSC,0,0,W,BD,5228,Miscellaneous Speed Control,SUB RMENU CODE
120,2020-10-04,10:33,Sunday,QUEEN TO FINCH STATION,TUS,5,10,N,YU,6106,Crew Unable to Maintain Schedule,SUB RMENU CODE
121,2020-10-04,11:41,Sunday,JANE STATION,MUSC,0,0,E,BD,5302,Miscellaneous Speed Control,SUB RMENU CODE
122,2020-10-04,12:57,Sunday,CASTLE FRANK STATION,PUSTS,0,0,W,BD,5228,Signals - Train Stops,SUB RMENU CODE
123,2020-10-04,13:05,Sunday,VICTORIA PARK STATION,SUAE,0,0,N/A,BD,0,Assault / Employee Involved,SUB RMENU CODE
124,2020-10-04,13:06,Sunday,VAUGHAN MC STATION,MUTO,5,9,S,YU,5436,Misc. Transportation Other - Employee Non-Chargeable,SUB RMENU CODE
125,2020-10-04,14:36,Sunday,DUNDAS STATION,MUIRS,0,0,N,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
126,2020-10-04,15:06,Sunday,WARDEN STATION,TUSC,3,7,N,YU,5906,Operator Overspeeding,SUB RMENU CODE
127,2020-10-04,15:35,Sunday,WARDEN STATION,SUDP,0,0,N/A,YU,0,Disorderly Patron,SUB RMENU CODE
128,2020-10-04,15:57,Sunday,QUEEN STATION,EUSC,3,7,N,YU,5701,Speed Control Equipment  ,SUB RMENU CODE
129,2020-10-04,16:27,Sunday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
130,2020-10-04,16:34,Sunday,QUEEN STATION,MUATC,5,9,S,YU,6026,ATC Project,SUB RMENU CODE
131,2020-10-04,16:44,Sunday,KING STATION,MUATC,5,9,S,YU,6026,ATC Project,SUB RMENU CODE
132,2020-10-04,17:00,Sunday,VAUGHAN MC STATION,MUPLA,0,0,S,YU,5656,Fire/Smoke Plan A,SUB RMENU CODE
133,2020-10-04,18:11,Sunday,VAUGHAN MC STATION,MUNOA,4,8,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
134,2020-10-04,18:34,Sunday,LAWRENCE STATION,EUSC,0,0,N,YU,6021,Speed Control Equipment  ,SUB RMENU CODE
135,2020-10-04,18:39,Sunday,QUEEN STATION,MUSC,0,0,N,YU,5701,Miscellaneous Speed Control,SUB RMENU CODE
136,2020-10-04,21:13,Sunday,DUNDAS WEST STATION,MUNCA,0,0,N/A,BD,0,,
137,2020-10-04,21:25,Sunday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
138,2020-10-04,22:00,Sunday,WARDEN STATION,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other,SUB RMENU CODE
139,2020-10-04,23:15,Sunday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
140,2020-10-04,23:21,Sunday,DUNDAS STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
141,2020-10-04,23:43,Sunday,LAWRENCE STATION,MUPAA,0,0,S,YU,6001,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
142,2020-10-05,01:33,Monday,SHEPPARD WEST STATION,MUPAA,0,0,S,YU,5516,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
143,2020-10-05,01:56,Monday,EGLINTON STATION,SUAE,0,0,N/A,YU,0,Assault / Employee Involved,SUB RMENU CODE
144,2020-10-05,05:31,Monday,FINCH STATION,TUSC,0,0,S,YU,6026,Operator Overspeeding,SUB RMENU CODE
145,2020-10-05,05:53,Monday,KIPLING STATION,MUNOA,5,10,E,BD,5156,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
146,2020-10-05,06:02,Monday,MCCOWAN STATION,ERBO,5,10,S,SRT,3025,Body,SRT RMENU CODE
147,2020-10-05,06:03,Monday,WARDEN STATION,MUIRS,0,0,E,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
148,2020-10-05,06:07,Monday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0,No Equipment Available,SRT RMENU CODE
149,2020-10-05,06:33,Monday,GREENWOOD YARD,MUSC,3,6,E,BD,5412,Miscellaneous Speed Control,SUB RMENU CODE
150,2020-10-05,07:11,Monday,QUEEN'S PARK STATION,MUDD,3,6,S,YU,5461,Door Problems - Debris Related,SUB RMENU CODE
151,2020-10-05,08:40,Monday,CHRISTIE STATION,SUDP,5,8,E,BD,5219,Disorderly Patron,SUB RMENU CODE
152,2020-10-05,08:40,Monday,VAUGHAN MC STATION,TUO,3,6,S,YU,5586,Transportation Department - Other,SUB RMENU CODE
153,2020-10-05,09:24,Monday,QUEEN STATION,MUDD,3,6,N,YU,5656,Door Problems - Debris Related,SUB RMENU CODE
154,2020-10-05,09:42,Monday,VAUGHAN MC STATION,TUNIP,3,6,S,YU,5681,Operator Not In Position,SUB RMENU CODE
155,2020-10-05,10:24,Monday,BROADVIEW STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident,SUB RMENU CODE
156,2020-10-05,10:24,Monday,WARDEN STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
157,2020-10-05,10:29,Monday,ST CLAIR STATION,SUAP,0,0,N/A,YU,0,Assault / Patron Involved,SUB RMENU CODE
158,2020-10-05,11:12,Monday,WARDEN STATION,SUDP,6,9,S,YU,5661,Disorderly Patron,SUB RMENU CODE
159,2020-10-05,11:27,Monday,SHEPPARD STATION,MUI,4,7,N,YU,5956,Injured or ill Customer (On Train) - Transported,SUB RMENU CODE
160,2020-10-05,11:56,Monday,KEELE STATION,MUO,0,0,N/A,BD,0,Miscellaneous Other,SUB RMENU CODE
161,2020-10-05,12:05,Monday,EGLINTON STATION,MUIRS,0,0,S,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
162,2020-10-05,12:12,Monday,FINCH STATION,TUNIP,3,6,S,YU,5831,Operator Not In Position,SUB RMENU CODE
163,2020-10-05,12:43,Monday,KENNEDY BD STATION,SUDP,3,6,W,BD,5215,Disorderly Patron,SUB RMENU CODE
164,2020-10-05,12:51,Monday,MCCOWAN STATION,ERNEA,5,10,S,SRT,3026,No Equipment Available,SRT RMENU CODE
165,2020-10-05,13:32,Monday,WARDEN STATION,SUUT,0,0,E,BD,5156,Unauthorized at Track Level,SUB RMENU CODE
166,2020-10-05,14:57,Monday,DUNDAS STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
167,2020-10-05,15:05,Monday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0,No Equipment Available,SRT RMENU CODE
168,2020-10-05,15:36,Monday,COXWELL STATION,SUDP,5,8,E,BD,5283,Disorderly Patron,SUB RMENU CODE
169,2020-10-05,16:39,Monday,LAWRENCE WEST STATION,SUUT,11,14,S,YU,5801,Unauthorized at Track Level,SUB RMENU CODE
170,2020-10-05,16:56,Monday,GLENCAIRN STATION,TUO,5,8,S,YU,5801,Transportation Department - Other,SUB RMENU CODE
171,2020-10-05,17:01,Monday,BAYVIEW STATION,SUO,0,0,N/A,SHP,0,Passenger Other,SUB RMENU CODE
172,2020-10-05,17:37,Monday,BATHURST STATION,SUDP,0,0,W,BD,5111,Disorderly Patron,SUB RMENU CODE
173,2020-10-05,17:44,Monday,EGLINTON STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
174,2020-10-05,18:05,Monday,SCARBOROUGH CTR STATIO,SRDP,0,0,N/A,SRT,0,Disorderly Patron,SRT RMENU CODE
175,2020-10-05,18:36,Monday,SPADINA YUS STATION,SUUT,20,23,S,YU,5641,Unauthorized at Track Level,SUB RMENU CODE
176,2020-10-05,19:25,Monday,BATHURST STATION,MUIS,0,0,E,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
177,2020-10-05,20:07,Monday,LESLIE STATION,MUIS,0,0,N/A,SHP,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
178,2020-10-05,20:15,Monday,ST PATRICK STATION,SUDP,3,6,N,YU,5386,Disorderly Patron,SUB RMENU CODE
179,2020-10-05,20:28,Monday,LESLIE STATION,MUIS,0,0,N/A,SHP,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
180,2020-10-05,22:00,Monday,WARDEN STATION,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other,SUB RMENU CODE
181,2020-10-05,22:14,Monday,KING STATION,MUPAA,6,11,S,YU,6021,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
182,2020-10-05,22:33,Monday,BLOOR STATION,MUIRS,0,0,S,YU,6116,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
183,2020-10-05,22:50,Monday,BAY STATION,MUIRS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
184,2020-10-05,23:00,Monday,ENGLINTON TO SHEPPARD,MUO,0,0,N/A,YU,0,Miscellaneous Other,SUB RMENU CODE
185,2020-10-05,23:09,Monday,UNION STATION,MUNCA,0,0,N/A,YU,0,,
186,2020-10-05,23:17,Monday,BROADVIEW STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
187,2020-10-05,23:23,Monday,FINCH STATION,TUSC,0,0,N,YU,5716,Operator Overspeeding,SUB RMENU CODE
188,2020-10-06,00:53,Tuesday,FINCH STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
189,2020-10-06,01:16,Tuesday,FINCH STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
190,2020-10-06,01:21,Tuesday,SHEPPARD STATION,MUSC,0,0,S,YU,5841,Miscellaneous Speed Control,SUB RMENU CODE
191,2020-10-06,01:58,Tuesday,LAWRENCE WEST STATION,SUO,0,0,N,YU,5761,Passenger Other,SUB RMENU CODE
192,2020-10-06,02:42,Tuesday,PIONEER VILLAGE STATIO,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
193,2020-10-06,05:31,Tuesday,DON MILLS STATION,MUSC,0,0,W,SHP,6181,Miscellaneous Speed Control,SUB RMENU CODE
194,2020-10-06,05:37,Tuesday,SHEPPARD STATION,TUSC,0,0,E,SHP,6176,Operator Overspeeding,SUB RMENU CODE
195,2020-10-06,05:40,Tuesday,FINCH STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,SUB RMENU CODE
